Désignation,N°,Code catégorie,Page scolaire
"['sacoche', 'dessin', '26x33cm']",54568,2200240,770
"['sacoche', 'dessin', '32x45cm']",37721,2200240,770
"['sacoche', 'dessin', '37x52cm']",10908,2200240,770
"['bloc', '40page', 'papier', 'dessin', 'blanc', '120g', '21x29,7cm', 'a4']",15972,2200230,772
"['bloc', '40page', 'papier', 'dessin', 'blanc', '160g', '24x32cm']",15971,2200230,772
"['pochette', '12feuille', 'papier', 'dessin', 'blanc', '180g', '21x29,7cm', 'a4']",43001,2200230,772
"['pochette', '12feuille', 'papier', 'dessin', 'blanc', '180g', '24x32cm']",43002,2200230,772
"['pochette', '10feuille', 'papier', 'dessin', '29,7x42cm', '180g', 'a3']",43003,2200230,772
"['pochette', '12feuille', 'dessin', '224g', '24x32cm']",43004,2200230,772
"['pochette', '12feuille', 'papier', 'cansonanson', '180g', '21x29,7cm', 'a4']",15977,2200230,772
"['pochette', '12feuille', 'papier', 'cansonanson', '180g', '24x32cm']",15974,2200230,772
"['pochette', '12feuille', 'papier', 'cansonanson', '224g', '24x32cm']",15981,2200230,772
"['pochette', '12feuille', 'papier', 'dessin', '160g', 'couleur', '24x32cm', 'teinte', 'vive']",43011,2200234,777
"['pochette', '12feuille', 'papier', 'dessin', '24x32cm', '160g', 'teinte', 'pastel']",43012,2200234,777
"['pochette', '12feuille', 'papier', 'dessin', '24x32cm', '160g', 'noir']",43013,2200234,777
"['pochette', '12feuille', 'papier', 'calque', '21x29,7cm']",43007,1902026,781
"['bloc', '50feuille', 'papier', 'calque', 'uni', '21x29,7cm', 'a4']",43010,1902026,781
"['paquet', '10feuille', 'calque', '24x32cm']",22744,1902026,781
"['pochette', '12feuille', 'papier', 'millimetre']",43005,1902024,781
"['boite', '12', 'pastel', 'sec']",82659,2201224,788
"['boite', '12', 'pastel', 'huile']",42776,2201224,789
"['boite', '12', 'stick', 'gouache']",28236,2201602,790
"['boite', '16', 'craie', 'cire']",42830,2201222,791
"['boite', '12', 'crayon', 'couleur', 'majuscule']",20294,2201202,797
"['pochette', '24', 'crayon', 'couleur', 'majuscule']",4431,2201202,797
"['pochette', '12', 'crayon', 'couleur', 'giotto', 'color', '30']",16784,2201202,797
"['etui', '12', 'crayon', 'couleur', 'evolution']",11688,2201202,798
"['etui', '18', 'crayon', 'couleur', 'evolution']",11687,2201202,798
"['etui', '12', 'crayon', 'couleur', 'effacable', 'evolution', 'illusion']",4441,2201202,798
"['pochette', '12', 'crayon', 'couleur', 'triangulaire']",25823,2201206,799
"['etui', '12', 'crayon', 'couleur', 'nori', 'colour', '185']",27419,2201202,799
"['etui', '12', 'crayon', 'couleur', 'stilnovo']",30420,2201202,801
"['pochette', '12', 'crayon', 'couleur', 'triangulaire', 'schoo', 'pep']",1676,2201206,801
"['pochette', '12', 'crayon', 'couleur', 'ferby', 'triangulaire']",51162,2201206,795
"['etui', '12', 'crayon', 'couleur', 'evolution', 'triangulaire']",51138,2201206,796
"['pochette', '12', 'crayon', 'couleur', 'triangulaire', 'pointe', 'large']",25826,2201206,796
"['etui', '12', 'crayon', 'couleu', 'aquarellable', 'nori', 'club']",72536,2201208,799
"['etui', '12', 'crayon', 'couleur', 'gro', 'module', 'triple', 'one', 'lyra']",76627,2201208,794
"['etui', '12', 'crayon', 'couleur', 'aquarellable', 'stilnovo', 'giotto']",30434,2201208,801
"['etui', '12', 'crayon', 'couleur', 'gro', 'module', 'giotto', 'mega']",24885,2201204,795
"['pochette', '12', 'crayon', 'couleur', 'gro', 'module', 'school', 'pep', 'maxi']",20291,2201204,795
"['pochette', '12', 'feutre', 'pointe', 'fine', 'majuscule']",20230,2201402,803
"['pochette', '12', 'feutre', 'visa', '880', 'pointe', 'fine']",19855,2201402,804
"['pochette', '18', 'feutre', 'visa', '880', 'pointe', 'fine']",19851,2201402,804
"['pochette', '12', 'feutre', 'stabilo', 'trio', 'a-z', 'pointe', 'fine']",65320,2201412,805
"['pochette', '12', 'feutre', 'pointe', 'moyenne', 'majuscule']",42581,2201404,807
"['etui', '12', 'feutre', 'giotto', 'turbo', 'advanced', 'pointe', 'moyenne']",24911,2201404,806
"['pochette', '12', 'feutre', 'power', 'pointe', 'moyenne']",65374,2201404,806
"['etui', '12', 'feutre', 'kid', 'couleur', 'pointe', 'moyenne']",68705,2201404,806
"['pochette', '12', 'feutre', 'school', 'pep']",36400,2201406,807
"['etui', '12', 'feutre', 'pointe', 'moyenne', 'turbo', 'color']",72539,2201404,808
"['pochette', '12', 'feutre', 'pointe', 'large', 'majuscule']",42580,2201406,809
"['etui', '12', 'feutre', 'kid', 'couleur', 'xl', 'pointe', 'extra', 'large']",68707,2201406,809
"['pochette', '12', 'visacolor', 'xl', 'pointe', 'extra', 'large']",19854,2201406,810
